"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Narayan Singh Amlabe","Elected","18/05/2009","In office","Madhya Pradesh","Rajgarh","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Madhya Pradesh Board, Bhopal",61,61,49,64,64,0,2,2,114,199,199,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.868205,76.7158500082723,-76.71585
"Narendra Singh Tomar","Elected","18/05/2009","In office","Madhya Pradesh","Morena","Bharatiya Janata Party","Male","Graduate","Educated at Jiwaji University, Gwalior, Madhya Pradesh",55,55,8,23,23,0,2,2,170,255,255,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",26.385228,77.8297873527295,-77.829787
"Natubhai Gomanbhai Patel","Elected","18/05/2009","In office","Dadra and Nagar Haveli","Dadra and Nagar Haveli","Bharatiya Janata Party","Male","Under Matric",,40,40,2,17,17,0,2,2,33,118,118,"50%",0.7,0.7," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",2,0,33,"50%",20.206391,73.0654963861913,-73.065496
"Naveen Jindal","Elected","18/05/2009","In office","Haryana","Kurukshetra","Indian National Congress","Male","Post Graduate","MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",42,42,14,29,29,0,2,2,362,447,447,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",30.053263,76.775047533525,-76.775048
"Navjot Singh Sidhu","Elected","18/05/2009","In office","Punjab","Amritsar","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.",48,48,3,18,18,0,2,2,99,184,184,"28%",0.48,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",31.569225,74.9454663389153,-74.945466
"Neeraj Shekhar","Elected","18/05/2009","In office","Uttar Pradesh","Ballia","Samajwadi Party","Male","Graduate","B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College",43,43,26,41,41,0,2,2,554,639,639,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.875768,84.1581610702345,-84.158161
"Nikhil Kumar Choudhary","Elected","18/05/2009","In office","Bihar","Katihar","Bharatiya Janata Party","Male","Graduate","B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar",66,66,20,35,35,0,2,2,68,153,153,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.558248,87.6418273388343,-87.641827
"Nilesh Narayan Rane","Elected","18/05/2009","In office","Maharashtra","Ratnagiri-Sindhudurg","Indian National Congress","Male","Doctorate","Ph.d; Educated at Mumbai University, Maharashtra",31,31,8,23,23,0,2,2,390,475,475,"74%",0.94,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",17.281703,73.4488974189791,-73.448897
"Ninong Ering","Elected","18/05/2009","In office","Arunachal Pradesh","Arunachal East","Indian National Congress","Male","Graduate","B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",53,53,19,34,34,0,2,2,25,110,110,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",12,0,40,"78%",26.264722,87.3677183275931,-87.367718
"Nirmal Khatri","Elected","18/05/2009","In office","Uttar Pradesh","Faizabad","Indian National Congress","Male","Doctorate","M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ",61,61,34,49,49,0,2,2,24,109,109,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.620828,82.0782104814229,-82.07821
"Nishikant Dubey","Elected","18/05/2009","In office","Jharkhand","Godda","Bharatiya Janata Party","Male","Post Graduate","B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",43,43,62,77,77,4,6,6,577,662,662,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",24.864735,87.2866479065852,-87.286648
"Nityananda Pradhan","Elected","18/05/2009","In office","Orissa","Aska","Biju Janata Dal","Male","Post Graduate","M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",67,67,6,21,21,0,2,2,522,607,607,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",26.264722,87.3677183275931,-87.367718
"Nripendra Nath Roy","Elected","18/05/2009","In office","West Bengal","Cooch Behar","All India Forward Bloc","Male","Graduate","B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal",53,53,37,52,52,0,2,2,482,567,567,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",10.811212,77.0803906278373,-77.080391
"O. S. Manian","Elected","18/05/2009","In office","Tamil Nadu","Mayiladuthurai","All India Anna Dravida Munnetra Kazhagam","Male","Inter/ Higher Secondary","P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam",58,58,34,49,49,0,2,2,20,105,105,"60%",0.8,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",26.037995,83.5526322273334,-83.552632
"Om Prakash Yadav","Elected","18/05/2009","In office","Bihar","Siwan","Independent","Male","Graduate","B.Sc.; Educated at D.A.V. College, Siwan, Bihar",50,50,25,40,40,9,11,11,284,369,369,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.130995,84.3968844408803,-84.396884
"P. Balram","Elected","18/05/2009","In office","Andhra Pradesh","Mahabubabad","Indian National Congress","Male","Graduate","B.A.; Educated at Andhra University, Hyderabad",48,48,10,25,25,0,2,2,426,511,511,"68%",0.88,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",9.935836,77.968039832471,-77.96804
"P. C. Mohan","Elected","18/05/2009","In office","Karnataka","Bangalore Central","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Vijiya College",49,49,3,18,18,0,2,2,171,256,256,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.872321,77.5190177676571,-77.519018
"P. Jaya Prada Nahata","Elected","18/05/2009","In office","Uttar Pradesh","Rampur","Independent","Female","Graduate","B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ",50,50,19,34,34,0,2,2,366,451,451,"31%",0.51,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",28.775336,79.1265012893445,-79.126501
"P. K. Biju","Elected","18/05/2009","In office","Kerala","Alathur","Communist Party of India (Marxist)","Male","Post Graduate","M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",38,38,66,81,81,0,2,2,317,402,402,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",9.487385,76.4871512080153,-76.487151
"P. Karunakaran","Elected","18/05/2009","In office","Kerala","Kasaragod","Communist Party of India (Marxist)","Male","Post Graduate","M.A.; Educated at M.A. College, Kothamangalam",67,67,71,86,86,0,2,2,373,458,458,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",12.439244,75.1480012892189,-75.148001
"P. Kumar","Elected","18/05/2009","In office","Tamil Nadu","Tiruchirappalli","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",41,41,49,64,64,0,2,2,364,449,449,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",10.848333,78.5897937582291,-78.589794
"P. Lingam","Elected","18/05/2009","In office","Tamil Nadu","Tenkasi","Communist Party of India","Male","Graduate","B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",46,46,57,72,72,0,2,2,260,345,345,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",30.466121,78.5003437477282,-78.500344
"P. T. Thomas","Elected","18/05/2009","In office","Kerala","Idukki","Indian National Congress","Male","Post Graduate","M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove",61,61,109,124,124,8,10,10,338,423,423,"100%",1.2,1.2," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",9.813233,77.0218446039297,-77.021845
"P. Venugopal","Elected","18/05/2009","In office","Tamil Nadu","Tiruvallur","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",60,60,25,40,40,0,2,2,219,304,304,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",8.779547,77.5625727701772,-77.562573
"P. Viswanathan","Elected","18/05/2009","In office","Tamil Nadu","Kancheepuram","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu",48,48,24,39,39,0,2,2,460,545,545,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",12.632656,79.9139333695192,-79.913933
"P.C. Chacko","Elected","18/05/2009","In office","Kerala","Thrissur","Indian National Congress","Male","Post Graduate","B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University",65,65,19,34,34,0,2,2,22,107,107,"90%",1.1,1.1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",10.478682,76.4295831811108,-76.429583
"P.C. Gaddigoudar","Elected","18/05/2009","In office","Karnataka","Bagalkot","Bharatiya Janata Party","Male","Graduate","B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",61,61,7,22,22,0,2,2,254,339,339,"78%",0.98,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",16.29042,75.663781327735,-75.663781
"P.L. Punia","Elected","18/05/2009","In office","Uttar Pradesh","Barabanki","Indian National Congress","Male","Doctorate","M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh",67,67,196,211,211,9,11,11,436,521,521,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.938945,81.3951716218387,-81.395172
"P.R. Natarajan","Elected","18/05/2009","In office","Tamil Nadu","Coimbatore","Communist Party of India (Marxist)","Male","Under Graduate","B.A (Incomplete); Educated at Madras University",61,61,24,39,39,0,2,2,251,336,336,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",10.811212,77.0803906278373,-77.080391
"Paban Singh Ghatowar","Elected","18/05/2009","In office","Assam","Dibrugarh","Indian National Congress","Male","Graduate","B.A.; Educated at Gauhati University, Guwahati, Assam; Industrial Relations Training (U.K.), 1975",61,61,9,24,24,0,2,2,18,103,103,"91%",1.11,1.11,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",8.2,0.2,31,"81%",27.400896,95.0310283912261,-95.031028
"Padamsinha Bajirao Patil","Elected","18/05/2009","In office","Maharashtra","Osmanabad","Nationalist Congress Party","Male","Graduate","M.B.B.S.; Educated B.J. Medical College, Pune, Maharashtra",72,72,2,17,17,0,2,2,141,226,226,"55%",0.75,0.75,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",18.170287,76.0376719948969,-76.037672
"Pakauri Lal","Elected","18/05/2009","In office","Uttar Pradesh","Robertsganj","Samajwadi Party","Male","Under Matric",,60,60,18,33,33,0,2,2,61,146,146,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.880535,91.8244194189362,-91.824419
"Palaniappan Chidambaram","Elected","18/05/2009","In office","Tamil Nadu","Sivaganga","Indian National Congress","Male","Post Graduate","B.Sc., B.L., M.B.A.; Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.) ",66,66,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",9.962875,78.5703553706339,-78.570355
"Paramjit Kaur Gulshan","Elected","18/05/2009","In office","Punjab","Faridkot","Shiromani Akali Dal","Female","Post Graduate","M.A. (Economics), M.A. (Sociology), B. Ed.; Educated at Punjab University, Chandigarh and Guru Nanak Dev University, Amritsar (Punjab) ",63,63,21,36,36,0,2,2,74,159,159,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",30.629972,74.7835760110224,-74.783576
"Partap Singh Bajwa","Elected","18/05/2009","In office","Punjab","Gurdaspur","Indian National Congress","Male","Graduate","B.A.; Educated at DAV College, Chandigarh, Punjab",55,55,35,50,50,1,3,3,274,359,359,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",32.085232,75.4195249949792,-75.419525
"Pashupati Nath Singh","Elected","18/05/2009","In office","Jharkhand","Dhanbad","Bharatiya Janata Party","Male","Graduate","B.Sc.",63,63,19,34,34,0,2,2,190,275,275,"90%",1.1,1.1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",23.844955,86.4700198292496,-86.47002
"Pawan Kumar Bansal","Elected","18/05/2009","In office","Chandigarh","Chandigarh","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Yadavindra Public School, Patiala Government College, Chandigarh; and Department of Law, Panjab University, Chandigarh",64,64,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",30.730389,76.7766661186389,-76.776666
"Pinaki Misra","Elected","18/05/2009","In office","Orissa","Puri","Biju Janata Dal","Male","Graduate","B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",52,52,15,30,30,0,2,2,19,104,104,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",19.939886,85.9086273199887,-85.908627
"Poonamben Veljibhai Jat","Elected","18/05/2009","In office","Gujarat","Kachchh","Bharatiya Janata Party","Female","Inter/ Higher Secondary","Educated at Somaiya College, Mumbai",41,41,20,35,35,0,2,2,77,162,162,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",23.730109,69.9113463956586,-69.911346
